nohup: ignoring input
============================================================
AGIFORMER PHASE 7: Curriculum Learning & Neuroplasticity
============================================================
Model: 31,199,792 parameters
Device: cuda
/home/ubuntu/agi-former/train_curriculum.py:74: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler()
Starting Curriculum Training...

[Curriculum] Initializing Stage 1: Lexical Grounding (Dictionary)

*** CURRICULUM ALERT: Advancing to Stage 1 ***
/home/ubuntu/agi-former/train_curriculum.py:120: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=(DEVICE=='cuda')):
Step 0: Loss=5.5744 | BPC=8.0422 | Alpha=0.10 | LR=3.00e-06
Step 1710: Loss=1.2909 | BPC=1.8624 | Alpha=0.10 | LR=3.00e-04
Step 1720: Loss=1.4628 | BPC=2.1103 | Alpha=0.10 | LR=3.00e-04
Step 1730: Loss=1.4302 | BPC=2.0633 | Alpha=0.10 | LR=3.00e-04
Step 1740: Loss=1.3611 | BPC=1.9637 | Alpha=0.10 | LR=3.00e-04
Step 1750: Loss=1.4947 | BPC=2.1564 | Alpha=0.10 | LR=3.00e-04
Step 1760: Loss=1.6002 | BPC=2.3086 | Alpha=0.10 | LR=3.00e-04
Step 1770: Loss=1.5058 | BPC=2.1724 | Alpha=0.10 | LR=3.00e-04
Step 1780: Loss=1.4453 | BPC=2.0851 | Alpha=0.10 | LR=3.00e-04
Step 1790: Loss=1.2603 | BPC=1.8183 | Alpha=0.10 | LR=3.00e-04
Step 1800: Loss=1.5373 | BPC=2.2178 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.3727 | BPC = 3.4230 --
Saved best_model_curriculum.pth
Step 1810: Loss=1.3840 | BPC=1.9967 | Alpha=0.10 | LR=3.00e-04
Step 1820: Loss=1.5169 | BPC=2.1884 | Alpha=0.10 | LR=3.00e-04
Step 1830: Loss=1.4415 | BPC=2.0797 | Alpha=0.10 | LR=3.00e-04
Step 1840: Loss=1.4860 | BPC=2.1439 | Alpha=0.10 | LR=3.00e-04
Step 1850: Loss=1.4916 | BPC=2.1519 | Alpha=0.10 | LR=3.00e-04
Step 1860: Loss=1.4106 | BPC=2.0350 | Alpha=0.10 | LR=3.00e-04
Step 1870: Loss=1.3568 | BPC=1.9574 | Alpha=0.10 | LR=3.00e-04
Step 1880: Loss=1.5396 | BPC=2.2211 | Alpha=0.10 | LR=3.00e-04
Step 1890: Loss=1.3690 | BPC=1.9750 | Alpha=0.10 | LR=3.00e-04
Step 1900: Loss=1.4327 | BPC=2.0670 | Alpha=0.10 | LR=3.00e-04
Step 1910: Loss=1.5097 | BPC=2.1780 | Alpha=0.10 | LR=3.00e-04
Step 1920: Loss=1.5309 | BPC=2.2087 | Alpha=0.10 | LR=3.00e-04
Step 1930: Loss=1.4642 | BPC=2.1124 | Alpha=0.10 | LR=3.00e-04
Step 1940: Loss=1.4371 | BPC=2.0733 | Alpha=0.10 | LR=3.00e-04
Step 1950: Loss=1.4535 | BPC=2.0970 | Alpha=0.10 | LR=3.00e-04
Step 1960: Loss=1.5539 | BPC=2.2418 | Alpha=0.10 | LR=3.00e-04
Step 1970: Loss=1.4256 | BPC=2.0566 | Alpha=0.10 | LR=3.00e-04
Step 1980: Loss=1.5096 | BPC=2.1779 | Alpha=0.10 | LR=3.00e-04
Step 1990: Loss=1.3555 | BPC=1.9555 | Alpha=0.10 | LR=3.00e-04
Step 2000: Loss=1.5641 | BPC=2.2565 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.3369 | BPC = 3.3714 --
Saved best_model_curriculum.pth
Step 2010: Loss=1.4449 | BPC=2.0846 | Alpha=0.10 | LR=3.00e-04
Step 2020: Loss=1.5016 | BPC=2.1664 | Alpha=0.10 | LR=3.00e-04
Step 2030: Loss=1.3016 | BPC=1.8777 | Alpha=0.10 | LR=3.00e-04
Step 2040: Loss=1.5431 | BPC=2.2262 | Alpha=0.10 | LR=3.00e-04
Step 2050: Loss=1.3579 | BPC=1.9590 | Alpha=0.10 | LR=3.00e-04
Step 2060: Loss=1.3782 | BPC=1.9884 | Alpha=0.10 | LR=3.00e-04
Step 2070: Loss=1.3896 | BPC=2.0048 | Alpha=0.10 | LR=3.00e-04
Step 2080: Loss=1.5461 | BPC=2.2305 | Alpha=0.10 | LR=3.00e-04
Step 2090: Loss=1.3098 | BPC=1.8896 | Alpha=0.10 | LR=3.00e-04
Step 2100: Loss=1.1762 | BPC=1.6969 | Alpha=0.10 | LR=3.00e-04
Step 2110: Loss=1.1164 | BPC=1.6107 | Alpha=0.10 | LR=3.00e-04
Step 2120: Loss=1.2956 | BPC=1.8691 | Alpha=0.10 | LR=3.00e-04
Step 2130: Loss=1.1465 | BPC=1.6540 | Alpha=0.10 | LR=3.00e-04
Step 2140: Loss=1.4423 | BPC=2.0808 | Alpha=0.10 | LR=3.00e-04
Step 2150: Loss=1.4179 | BPC=2.0456 | Alpha=0.10 | LR=3.00e-04
Step 2160: Loss=1.3294 | BPC=1.9179 | Alpha=0.10 | LR=3.00e-04
Step 2170: Loss=1.3703 | BPC=1.9770 | Alpha=0.10 | LR=3.00e-04
Step 2180: Loss=1.4012 | BPC=2.0214 | Alpha=0.10 | LR=3.00e-04
Step 2190: Loss=1.2215 | BPC=1.7622 | Alpha=0.10 | LR=3.00e-04
Step 2200: Loss=1.4023 | BPC=2.0231 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.3302 | BPC = 3.3617 --
Saved best_model_curriculum.pth
Step 2210: Loss=1.2662 | BPC=1.8267 | Alpha=0.10 | LR=3.00e-04
Step 2220: Loss=1.4732 | BPC=2.1253 | Alpha=0.10 | LR=3.00e-04
Step 2230: Loss=1.2725 | BPC=1.8358 | Alpha=0.10 | LR=3.00e-04
Step 2240: Loss=1.3752 | BPC=1.9840 | Alpha=0.10 | LR=3.00e-04
Step 2250: Loss=1.2182 | BPC=1.7575 | Alpha=0.10 | LR=3.00e-04
Step 2260: Loss=1.3785 | BPC=1.9888 | Alpha=0.10 | LR=3.00e-04
Step 2270: Loss=1.4370 | BPC=2.0731 | Alpha=0.10 | LR=3.00e-04
Step 2280: Loss=1.1773 | BPC=1.6984 | Alpha=0.10 | LR=3.00e-04
Step 2290: Loss=1.5510 | BPC=2.2376 | Alpha=0.10 | LR=3.00e-04
Step 2300: Loss=1.3414 | BPC=1.9352 | Alpha=0.10 | LR=3.00e-04
Step 2310: Loss=1.2793 | BPC=1.8457 | Alpha=0.10 | LR=3.00e-04
Step 2320: Loss=1.2145 | BPC=1.7522 | Alpha=0.10 | LR=3.00e-04
Step 2330: Loss=1.3871 | BPC=2.0011 | Alpha=0.10 | LR=3.00e-04
Step 2340: Loss=1.3155 | BPC=1.8978 | Alpha=0.10 | LR=3.00e-04
Step 2350: Loss=1.4074 | BPC=2.0304 | Alpha=0.10 | LR=3.00e-04
Step 2360: Loss=1.2141 | BPC=1.7515 | Alpha=0.10 | LR=3.00e-04
Step 2370: Loss=1.3447 | BPC=1.9400 | Alpha=0.10 | LR=3.00e-04
Step 2380: Loss=1.2358 | BPC=1.7828 | Alpha=0.10 | LR=3.00e-04
Step 2390: Loss=1.4494 | BPC=2.0910 | Alpha=0.10 | LR=3.00e-04
Step 2400: Loss=1.3695 | BPC=1.9758 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.3349 | BPC = 3.3686 --
Step 2410: Loss=1.3593 | BPC=1.9611 | Alpha=0.10 | LR=3.00e-04
Step 2420: Loss=1.2898 | BPC=1.8607 | Alpha=0.10 | LR=3.00e-04
Step 2430: Loss=1.3438 | BPC=1.9386 | Alpha=0.10 | LR=3.00e-04
Step 2440: Loss=1.4149 | BPC=2.0413 | Alpha=0.10 | LR=3.00e-04
Step 2450: Loss=1.2920 | BPC=1.8639 | Alpha=0.10 | LR=3.00e-04
Step 2460: Loss=1.4626 | BPC=2.1100 | Alpha=0.10 | LR=3.00e-04
Step 2470: Loss=1.5322 | BPC=2.2106 | Alpha=0.10 | LR=3.00e-04
Step 2480: Loss=1.3807 | BPC=1.9919 | Alpha=0.10 | LR=3.00e-04
Step 2490: Loss=1.4472 | BPC=2.0879 | Alpha=0.10 | LR=3.00e-04
Step 2500: Loss=1.4677 | BPC=2.1174 | Alpha=0.10 | LR=3.00e-04
Step 2510: Loss=1.4012 | BPC=2.0215 | Alpha=0.10 | LR=3.00e-04
Step 2520: Loss=1.5163 | BPC=2.1876 | Alpha=0.10 | LR=3.00e-04
Step 2530: Loss=1.4033 | BPC=2.0246 | Alpha=0.10 | LR=3.00e-04
Step 2540: Loss=1.2831 | BPC=1.8512 | Alpha=0.10 | LR=3.00e-04
Step 2550: Loss=1.3106 | BPC=1.8908 | Alpha=0.10 | LR=3.00e-04
Step 2560: Loss=1.4753 | BPC=2.1285 | Alpha=0.10 | LR=3.00e-04
Step 2570: Loss=1.3427 | BPC=1.9372 | Alpha=0.10 | LR=3.00e-04
Step 2580: Loss=1.5128 | BPC=2.1824 | Alpha=0.10 | LR=3.00e-04
Step 2590: Loss=1.4090 | BPC=2.0328 | Alpha=0.10 | LR=3.00e-04
Step 2600: Loss=1.3270 | BPC=1.9144 | Alpha=0.10 | LR=3.00e-04
-- VALIDATION: Loss = 2.3220 | BPC = 3.3499 --
Saved best_model_curriculum.pth
Step 2610: Loss=1.3725 | BPC=1.9800 | Alpha=0.10 | LR=3.00e-04
Step 2620: Loss=1.3875 | BPC=2.0017 | Alpha=0.10 | LR=3.00e-04
Step 2630: Loss=1.2141 | BPC=1.7516 | Alpha=0.10 | LR=3.00e-04
Step 2640: Loss=1.3197 | BPC=1.9039 | Alpha=0.10 | LR=3.00e-04
Step 2650: Loss=1.3182 | BPC=1.9017 | Alpha=0.10 | LR=3.00e-04
Step 2660: Loss=1.2745 | BPC=1.8387 | Alpha=0.10 | LR=3.00e-04
Step 2670: Loss=1.3558 | BPC=1.9561 | Alpha=0.10 | LR=3.00e-04
Step 2680: Loss=1.3041 | BPC=1.8814 | Alpha=0.10 | LR=3.00e-04
Step 2690: Loss=1.2846 | BPC=1.8533 | Alpha=0.10 | LR=3.00e-04
Step 2700: Loss=1.3513 | BPC=1.9495 | Alpha=0.10 | LR=3.00e-04
Step 2710: Loss=1.4158 | BPC=2.0425 | Alpha=0.10 | LR=3.00e-04
Step 2720: Loss=1.4023 | BPC=2.0230 | Alpha=0.10 | LR=3.00e-04
Step 2730: Loss=1.3324 | BPC=1.9222 | Alpha=0.10 | LR=3.00e-04
Step 2740: Loss=1.4590 | BPC=2.1049 | Alpha=0.10 | LR=3.00e-04
Step 2750: Loss=1.3481 | BPC=1.9449 | Alpha=0.10 | LR=3.00e-04
